,nombre,direccion
176,HG PIEDRAS  SA DE CV,5 SUR 305 nan BARRIO DE SAN MIGUEL PUEBLA 72960 Puebla
177,MAYCO SYRIUS  SA DE CV,TALES DE MILETO 170 nan VALLE DEL SOL PUEBLA 72565 Puebla
178,DALUS  SA DE CV,AV KALOS 117 nan PARQUE INDUSTRIAL KALOS APODACA 66600 Nuevo Leon
179,"NUOVAITAL TEX, SA DE CV",CLL 5 NORTE 1003 INT 1 SAN PEDRO CHOLULA SAN PEDRO CHOLULA 72760 Puebla
180,INMOBILIARIA ZEREZOTLA  SA DE CV,CALLE 5 DE MAYO 1805 2 BARRIO SANTIAGO MIXCUITLA SAN PEDRO CHOLULA 72760 Puebla
181,RUTA DEL SOL AGENCIADE VIAJES SA DE CV,2 ORIENTE 415 C CENTRO SAN PEDRO CHOLULA 72760 Puebla
182,ACEROS RAINSA SA DE CV,23 NTE 3614 nan LAS CUARTILLAS PUEBLA 72080 Puebla
183,EFF  SA DE CV,CALLE DEL FAROL 74 nan SANTA CRUZ GUADALUPE PUEBLA 72150 Puebla
184,FILTROS Y MALLAS DE PUEBLA SA DE CV,CERRADA SAN ANDRES 20 nan SAN FRANCISCO ACATEP SAN ANDRES CHOLULA 72845 Puebla
185,GRUPO DE FABRICANTESDE ACERO Y CONCRETO  SA DE CV,CALLE 2DA FRANCISCO I MADERO 2 nan SAN BERNARDINO TLAXC SAN ANDRES CHOLULA 72820 Puebla
